sentiment,text,label
negative,Meh... Almost Lover is the exception... this track gets me depressed every time. ,positive
negative,"Why Kutner? I mean I knew something was going to happen to someone but it was so sad. I &lt;3 House and it was well done, but I'm still sad ",negative
negative,MY TWEETS ARENT GOING THROUGH ,neutral
negative,"@emilyruppe Well he said that he is a looser, and that is what the show implies ",neutral
negative,"Reeked of alcohol at the dentist this morning + was drunk when i put on my tshirt, realised it had a huge stain. Dentist looked disgusted ",neutral
negative,@nick_carter Come to the chat  just 15 minutes  please? http://fanclub.backstreetboys.com/chat.php,neutral
negative,I'm stuck awake in the middle of the night for the second day in a row. And I felt terrible yesterday. ,negative
negative,i don't like lukewarm showers ,neutral
negative,@Brodhe geez ur no fun are you ,neutral
negative,"Sittin here w/Kayla, I really really reallly dis-like having a brother.  He doesn't know when to stop. I'm waiting for the day when one of",neutral
negative,@Starrbby too bad I won't be around I lost my job and can't even pay my phone bill lmao aw shucks ,negative
negative,@ozesteph1992 Shame to hear this Stephan ,neutral
negative,"@sudam08  yes, someone hasn't been reading my posts properly  ",neutral
negative,Work laptop is officially dead .. Not happy at all.. ,positive
negative,KUTNERRRR!  WHY??? WHY??????  And to think that 13 is still on the show?? UGH. Kutner/Kal Penn - you've been the bright star in Ho ...,neutral
negative,My man crush Jake Peavy let me down  #gayforpeavy,neutral
negative,"wants her step brother home  im so worried, you dont even know. i hope he knows how much i care for him...",neutral
negative,@mandayyy   ,neutral
negative,@tomatosalsa hope you aren't referring to me  say hello to your new stalker LOL,neutral
negative,"Change of plans, we ordered Macs instead. Time to hit the books! ",neutral
negative,"Argh! I was suuuper sleepy an hour ago, now I'm wide awake.  Hope I don't stay up all night. :-/",neutral
negative,@PlayRadioPlay that was so sad and unexpected.  i totally cried haha.,negative
negative,@jennlopez I had to get an HD tivo and just got it set up tonight in order to get channels 40 - 59. ,neutral
negative,@tea oh! i'm so sorry  i didn't think about that before retweeting.,neutral
negative,@featherinair call me back. ,neutral
negative,@Kenichan I dived many times for the ball. Managed to save 50%  The rest go out of bounds,neutral
negative,@sasii I know exactly how you feel! ,neutral
negative,@maddyVA Thanks a lot. Learned a lot of new words but didn't find what I was looking for. ,neutral
negative,C'mon sean man ,neutral
negative,@JonathanRKnight aw ok goonite....  ,neutral
negative,@amber_benson  my hubby (for some reason) thinks it's more important he has a good spot for red carpet for the Trek Movie Premiere. Sod!,positive
negative,@dweeman why aren't you a happy camper? ,positive
negative,i Love my atekinzz so much. &amp;&amp; i soo miss her.. ,positive
negative,I'm in one of those days when I really just want to work from home.  Crap. ,neutral
negative,@julieebaby awe i love you too!!!! 1 am here  i miss you,positive
negative,@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though,neutral
negative,@charlietm I know right. I dunno what is going on with twitter. ,neutral
negative,"A king sized bed is nice but sad and lonely with no hubby, puppy, or kitty   I am over this whole conferenceing thing.",negative
negative,spencer is not a good guy. ,positive
negative,michigan state you make me sad ,negative
negative,my whole body feels itchy and like its on fire ,neutral
negative,@cheechbud i think ur right!! hahaha!! 4.5 hrs now!! ,neutral
negative,@Miss_Sil no i was half asleep and turned off the laptop after that ,neutral
negative,need to sleep. but cant ,neutral
negative,"@austinhill I wish I was!  Sold out   If you have some time let me know, I would love to hear more about what you are up to!",positive
negative,@marykatherine_q i know! I heard it this afternoon and wondered the same thing. Moscow is so behind the times ,neutral
negative,@anistorm ,neutral
negative,No new csi tonight.  FML,neutral
negative,Damn... I don't have any chalk! MY CHALKBOARD IS USELESS ,neutral
negative,"FML: So much for seniority, bc of technological ineptness, I now have to &quot;register&quot; for classes AGAIN ",neutral
negative,missin' the boo ,neutral
negative,"@cloudpimps d'oh! At least you're getting a decent exchange rate at the moment, sterling is still getting flogged ",neutral
negative,Sliced my finger ,neutral
negative,Sodding M25   http://twitpic.com/2y3y0,neutral
negative,@danadearmond ,neutral
negative,walking home from school drains all my energy ,neutral
negative,Seems jRuby support for hpricot is now two versions behind ,neutral
negative,@astewart87 oh my gosh that made me emotional haha idk why!!! i dont want to get old ,neutral
negative,@michaeltao man america is so .. borez anyway lol i just realized you sent me msgs on here. i had no idea. i have no flash ,neutral
negative,@Kwesidei not the whole crew ,neutral
negative,is going to have a late one at MQU today ,neutral
negative,stuck at home ,neutral
negative,"hey, I actually won one of my bracket pools! Too bad it wasn't the one for money ",negative
negative,gr8t my face is very itchy ,neutral
negative,homework.... ,neutral
negative,"@Steve_Buscemi SHUT UP you...I am hungry! And in Britain, home of the most boring suckassy breakfast in the world!  I MISS DENNYS!!",neutral
negative,My stress always culminates with physical pain.  ,neutral
negative,@duchess_rebecca Man... intervention is soo sad ,negative
negative,has hurt her ankle!! and is going to the dr ,neutral
negative,HELP! I need a new boyfriend... I'm stuck in a rut ,neutral
negative,"atekinzz, where in the world are you?? ",neutral
negative,Hanging in Crooners. Wanna sing. Can't. Sucks. ,neutral
negative,"so far i have 311 veiws on all my sites put together,  most of them were me checking out the updates i made......",neutral
negative,New video card is DOA. ,neutral
negative,anyone else having problems accessing TTB??? I cant get on!!! ,neutral
negative,@twittera que me muera ? ,neutral
negative,wanttss to go out ,neutral
